data_id,document,metadata
硕士专业学位授权点,临床医学、口腔医学、资源与环境、生物与医药、电子信息、材料与化工、能源动力、工商管理硕士、法律硕士、临床医学硕士、公共管理硕士、口腔医学硕士、公共卫生硕士、会计硕士、翻译硕士、汉语国际教育硕士、社会工作硕士、金融硕士、应用统计硕士、国际商务硕士、保险硕士、文物与博物馆硕士、护理硕士、药学硕士、旅游管理硕士、图书情报硕士、审计硕士、新闻与传播硕士、应用心理硕士、艺术硕士、体育硕士、电子信息硕士、机械硕士、材料与化工硕士、资源与环境硕士、能源动力硕士、土木水利硕士、生物与医药硕士、交通运输硕士、工程管理硕士、城市规划硕士、农业硕士、文献与文化遗产保护硕士,"硕士专业学位授权点,专业,学科"
世界一流学科建设学科,哲学，工商管理，数学，化学，生物学，生态学，电子科学与技术，材料科学与工程，基础医学，临床医学，药学,"世界一流学科建设学科,专业,学科"
一级学科国家重点学科,生物学、工商管理,"一级学科国家重点学科,专业,学科"
二级学科国家重点学科,马克思主义哲学、逻辑学、人类学、思想政治教育、中国古代文学、英语语言文学、中国古代史、中国近现代史、基础数学、凝聚态物理、无机化学、高分子化学与物理、人文地理学、内科学（内分泌与代谢病）、内科学（肾病）、神经病学、外科学（普外）、眼科学、耳鼻咽喉科学、肿瘤学、卫生毒理学、药理学、行政管理,"二级学科国家重点学科,专业,学科"
广东省重点学科（攀峰重点学科）,理论经济学、社会学、马克思主义理论、中国语言文学、外国语言文学、中国史、数学、物理学、化学、地理学、生物学、生态学、计算机科学与技术、基础医学、临床医学、公共卫生与预防医学、药学、工商管理、公共管理,"广东省重点学科（攀峰重点学科）,专业,学科"
广东省重点学科（优势重点学科）,应用经济学、法学、政治学、民族学、考古学、世界史、基础心理学（二级学科）、海洋科学、统计学、信息与通信工程、环境科学与工程、生物医学工程、软件工程、口腔医学、护理学、管理科学与工程、图书情报与档案管理,"广东省重点学科（优势重点学科）,专业,学科"
"办学情况,2020年","截至2020年7月，根据基本科学指标数据库（简称ESI）的统计，在ESI数据库全部22个学科中，中山大学有20个学科进入世界前1%，入选学科数目并列全国高校第3位。其中有15个学科领域进入前0.5%，4个学科领域进入前0.1%。,","办学情况,学习资源,成就,截至,年份,大事记,2020年7月"
ESI世界前1%学科,数学，物理学，化学，工程学，生物与生物化学，分子生物与遗传学，植物与动物学，计算机科学，环境与生态学，微生物学，农业科学，免疫学，临床医学，药理学与毒理学，神经与行为科学，材料科学，社会科学总论，地球科学，精神病学与心理学，经济与商业,"ESI世界前1%学科,2020年7月"
2012年第三轮全国高等院校学科评估,在2012年教育部学位与研究生教育发展中心公布的第三轮全国高等院校学科评估中，按学科水平计算，中山大学有16个学科进入前5，32个学科进入前10。,"2012年,第三轮全国高等院校学科评估"
师资力量,截至2023年5月，学校有专任教师4970人（其中校本部3733人），其中正高级职称1683人、副高职称2216人，博士后、专职科研人员2142人，专业技术人员（实验技术、工程技术、图书资料、编辑出版、会计系列）984人；有院士（含讲座讲授）22人，国家级高层次人才400余人。,"师资力量,教学水平,成就,实力"
培养目标,以“德才兼备、领袖气质、家国情怀”为人才培养目标。,培养目标
培养模式,以“通识教育、大类教学、复合创新”的为本科教育观念，以“厚基础、宽口径、重个性、求创新”的为本科人才培养方案特色。在研究生教育方面，坚持以提高质量、服务需求为主线，以结构调整为重点，以培养模式创新和体制机制改革为着力点，全面深化研究生教育综合改革，激发研究生从事科学研究和实践创新的积极性与主动性。完善学术学位研究生培养与科学研究相结合的培养机制，推动硕博贯通培养，实施“优生优培”资助计划，推动课程训练和科研训练结合，加强研究生教育国际化和创新性研究，大力提升博士研究生和学术型硕士研究生科研水平，培养学术人才；构建专业学位研究生培养与岗位实践相结合的培养机制，深化专业学位研究生培养模式改革，加强行业实践和职业能力培养，培养行业领袖人才。,培养模式
质量工程,截至2023年5月，学校有10个专业入选强基计划（基础学科招生改革试点）；11个学科专业入选教育部基础学科拔尖学生培养计划2.0基地，总数位居全国并列第4；72个专业入选国家级一流本科专业建设点，另有19个专业入选省级一流本科专业建设点；获得国家级一流本科课程认定71门、省级一流本科课程认定119门；建设国家级虚拟教研室4个，建有在线开放课程228门次。,质量工程
国家级特色专业,汉语言文学、历史学、哲学、人类学、化学、法医学、护理学、行政管理、工商管理、数学与应用数学、网络工程、临床医学、会计学、预防医学、微电子学、生物科学、资源环境与城乡规划管理、软件工程、生物技术,"国家级,特色专业"
陈春声,党委书记。工作职责：主持学校党委工作，负责党建、干部工作。公共服务邮箱: chenchunsheng01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
高松,校长、党委副书记。工作职责：主持学校行政工作，负责人事、财务与国资、审计工作。公共服务邮箱: president@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
国亚萍,党委副书记。工作职责：负责统一战线和民族宗教、教代会、工会（含扶贫）、机关党委工作，协管党建、干部、审计工作；分管党委组织部、党委统战部、校工会、机关党委、审计处。公共服务邮箱: guoyaping01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
余敏斌,党委副书记。工作职责：负责宣传、思想政治工作、师德师风建设、学生事务管理（含就业）、共青团、心理健康教育、武装、学报、美育工作；分管党委宣传部、党委教师工作部、党委学生工作部、校团委、学报编辑部、期刊管理中心。公共服务邮箱: yuminbin01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
刁振强,党委副书记、纪委书记、国家监委驻中山大学监察专员。工作职责：负责纪检监察、巡视工作；分管纪委、监察专员办，党委巡视工作办公室。公共服务邮箱: diaozhenqiang01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
王帆,党委副书记。工作职责：负责保密、信访、信息化建设与管理、离退休工作；协管人事、财务与国资、学校党委日常工作；分管党委办公室(信访办公室)、保密管理办公室、人力资源管理处、财务处、离退休工作处、网络与信息中心、经济与管理学部。公共服务邮箱: wangfan01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
肖海鹏,常务副校长。工作职责：负责医疗、保健、公费医疗与医保、国际合作与交流、港澳台事务、广州校区北校园管理工作，协管学校行政日常工作；分管校长办公室、医学部、国际合作与交流处（港澳台事务办公室）。公共服务邮箱: xiaohaipeng01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
杨清华,副校长。工作职责：因在地方挂职，不参加工作分工。公共服务邮箱: yangqinghua01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
兰平,副校长。工作职责：负责科研工作、地方研究院、校友工作、基金工作、广州校区东校园管理工作；分管科学研究院、教育发展与校友事务办公室、深圳校区实验动物中心。公共服务邮箱: lanping01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
邰忠智,副校长。工作职责：负责实验室与设备管理、大学产业运营与大学科技园、高等继续教育、深圳校区管理工作；分管设备与实验室管理处、测试中心、产业集团、继续教育办公室、继续教育学院、深圳校区管理委员会、信息学部。公共服务邮箱: taizhongzhi01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
刘济科,副校长。工作职责：负责本科教育、研究生教育、思想政治理论课、招生、体育、附属学校工作；分管教务部、研究生院、工学部。公共服务邮箱: liujike01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
杨东华,副校长。工作职责：负责总务（含卫生防疫）、基建、保卫（含稳定、消防安全）、社会治安综合管理、招投标工作；分管总务部、基建处、党委保卫部（保卫处）、政府采购与招投标管理中心。公共服务邮箱: yangdonghua01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
郑跃,副校长。工作职责：负责先进技术研究、珠海校区管理工作，协管科研、保密工作；分管先进技术研究院、珠海校区管理委员会、理学部。公共服务邮箱: zhengyue01@mail.sysu.edu.cn,"现任领导,中山大学领导,领导,职责,公共服务邮箱"
广州校区北校园院系设置,中山医学院、光华口腔医学院、公共卫生学院、护理学院。,"广州校区北校园,院系设置"
中山大学(广州校区东校园)院系设置,法学院、政治与公共事务管理学院、管理学院、心理学系、传播与设计学院、信息管理学院、化学学院、材料科学与工程学院、电子与信息工程学院、计算机学院（软件学院）、国家保密学院、网络安全学院、环境科学与工程学院、系统科学与工程学院、药学院。,"广州校区东校园,院系设置"
中山大学(珠海校区)院系设置,中国语言文学系（珠海）、历史学系（珠海）、哲学系（珠海）、国际金融学院、国际翻译学院、国际关系学院、旅游学院、数学学院（珠海）、物理与天文学院、大气科学学院、海洋科学学院、地球科学与工程学院、化学工程与技术学院、海洋工程与技术学院、中法核工程与技术学院、土木工程学院、微电子科学与技术学院、测绘科学与技术学院、人工智能学院、软件工程学院。招生专业,"珠海校区,院系设置"
中山大学(深圳校区)院系设置：,医学院、公共卫生学院（深圳）、药学院（深圳）、材料学院、生物医学工程学院、电子与通信工程学院、智能工程学院、航空航天学院、农学院、生态学院、集成电路学院、先进制造学院、先进能源学院、理学院、商学院、网络空间安全学院。招生专业,"深圳校区,院系设置"
